"Test sayisi","Vaka sayisi","Vefat sayisi","Iyilesen sayisi","date"
106799,15679,277,333,"1 NISAN 2020"
125556,18135,356,415,"2 NISAN 2020"
141716,20921,425,484,"3 NISAN 2020"
161380,23934,501,786,"4 NISAN 2020"
181445,27069,574,1042,"5 NISAN 2020"
202845,30217,649,1326,"6 NISAN 2020"
222868,34109,725,1582,"7 NISAN 2020"
247768,38226,812,1846,"8 NISAN 2020"
276338,42282,908,2142,"9 NISAN 2020"
307210,47029,1006,2423,"10 NISAN 2020"
340380,52167,1101,2965,"11 NISAN 2020"
376100,56956,1198,3446,"12 NISAN 2020"
410556,61049,1296,3957,"13 NISAN 2020"
443626,65111,1403,4799,"14 NISAN 2020"
477716,69392,1518,5674,"15 NISAN 2020"
